language,uni_lemma,lexical_category,category,freq,concreteness,measure,intercept,slope,aoa
Mandarin (Beijing),mirror,nouns,household,0.27654781397593775,0.8114275650597611,produces,-6.4127745952686706,0.30015713829169133,21.364724596477082
Mandarin (Beijing),money,nouns,household,0.3370421764557463,0.37773854470835827,produces,-5.854701201526765,0.3003264360470764,19.494458358667558
Mandarin (Beijing),money,nouns,household,0.3370421764557463,0.37773854470835827,understands,-4.643288771383519,0.29996008730895624,15.479688691385705
Mandarin (Beijing),monkey,nouns,animals,-0.04865774194980085,0.7408270268630217,produces,-6.095517631520255,0.30028851759947567,20.298870167424937
Mandarin (Beijing),monkey,nouns,animals,-0.04865774194980085,0.7408270268630217,understands,-5.170561480853087,0.2997734581229799,17.248229757325287
Mandarin (Beijing),moon,nouns,outside,-0.1260643363033147,0.7408270268630217,produces,-6.332887024700936,0.30019354332996767,21.096013440035694
Mandarin (Beijing),moon,nouns,outside,-0.1260643363033147,0.7408270268630217,understands,-5.129608570912352,0.30001041093903996,17.09810187871998
Mandarin (Beijing),mop (object),nouns,household,-1.1829169050882478,0.8114275650597611,produces,-8.283982922748423,0.2999346519535838,27.61929263188438
Mandarin (Beijing),mosquito,nouns,animals,-0.408786390801924,0.7206554445210955,produces,-6.888210266892766,0.30017936645358473,22.946981160871548
Mandarin (Beijing),motorcycle,nouns,vehicles,-0.5902627776412747,0.8114275650597611,produces,-7.106864770618364,0.30007756513076617,23.68342587531118
Mandarin (Beijing),mountain,nouns,outside,0.06641038264097955,0.8013417738887985,produces,-6.504098612361425,0.3000435960806343,21.67717857445456
Mandarin (Beijing),mouse,nouns,animals,0.2698903466918904,0.6702264886662813,produces,-6.610365761957001,0.3001225361761316,22.025556115111613
Mandarin (Beijing),mouse,nouns,animals,0.2698903466918904,0.6702264886662813,understands,-5.794593654718156,0.2999353763199195,19.319473834048438
Mandarin (Beijing),mouth,nouns,body_parts,-0.15761625740210902,0.5794543681276157,produces,-5.557479607135605,0.3004646083831171,18.49628692391405
Mandarin (Beijing),mouth,nouns,body_parts,-0.15761625740210902,0.5794543681276157,understands,-3.759080842245246,0.2997632049342093,12.540167640222128
Mandarin (Beijing),mushroom,nouns,food_drink,-0.16170985089748321,0.6702264886662813,produces,-7.172752146275188,0.30000990613869327,23.908384355012785
Mandarin (Beijing),nail (body part),nouns,body_parts,-1.7854887928185803,0.7710844003759096,produces,-7.898405691031093,0.30005879568137334,26.322860068458912
Mandarin (Beijing),nail (object),nouns,household,-1.1829169050882478,0.7710844003759096,produces,-7.373358264230859,0.30000994747558046,24.57704594888814
Mandarin (Beijing),neck,nouns,body_parts,-0.467160275200393,0.8416849385726499,produces,-6.679353869049919,0.3001674050722236,22.25209585112278
Mandarin (Beijing),necklace,nouns,clothing,-0.6003893481438599,0.8013417738887985,produces,-7.774028967082314,0.30006110405124287,25.908152913263645
Mandarin (Beijing),needle,nouns,household,0.23334155609059964,0.7710844003759096,produces,-7.266817474198313,0.29996470181063234,24.22557531047721
Mandarin (Beijing),needle,nouns,household,0.23334155609059964,0.7710844003759096,understands,-6.716509683270492,0.30000602424271033,22.387916043434892
Mandarin (Beijing),newspaper,nouns,household,-0.32109075530336195,0.6601406974953187,produces,-6.606197869240597,0.2999279586794219,22.025948825603262
Mandarin (Beijing),noodles,nouns,food_drink,-1.7854887928185803,0.8013417738887985,produces,-8.195646069926783,0.29985676336821604,27.331869983078388
